episode,timestep,reward
13158, 198600, 7.2526
13188, 199200, 7.6483
13216, 199800, 8.0178
13244, 200400, 8.6668
13272, 201000, 8.5144
13299, 201600, 9.4169
13327, 202200, 9.6756
13355, 202800, 8.826
13382, 203400, 8.7188
13410, 204000, 7.7901
13434, 204600, 12.0243
13460, 205200, 11.8535
13488, 205800, 8.878
13515, 206400, 8.3796
13544, 207000, 8.5925
13571, 207600, 8.1722
13600, 208200, 8.1375
13629, 208800, 8.5354
13656, 209400, 10.0721
13684, 210000, 8.0046
13712, 210600, 10.0284
13739, 211200, 9.657
13768, 211800, 8.3187
13795, 212400, 9.3703
13821, 213000, 10.0039
13848, 213600, 8.8409
13875, 214200, 10.8814
13904, 214800, 8.4893
13933, 215400, 9.2873
13962, 216000, 8.7473
13989, 216600, 8.9747
14016, 217200, 9.9103
14044, 217800, 9.2174
14072, 218400, 7.3503
14101, 219000, 9.7678
14129, 219600, 9.8328
14157, 220200, 10.0245
14184, 220800, 9.8642
14212, 221400, 9.3886
14240, 222000, 10.2816
14266, 222600, 10.1608
14294, 223200, 9.3175
14321, 223800, 10.0972
14353, 224400, 6.4342
14380, 225000, 10.0568
14407, 225600, 9.4373
14435, 226200, 9.5884
14464, 226800, 8.2945
14491, 227400, 8.3964
14518, 228000, 10.2355
14544, 228600, 10.5249
14571, 229200, 10.2811
14597, 229800, 10.3266
14626, 230400, 8.3932
14652, 231000, 9.0151
14682, 231600, 7.5637
14712, 232200, 7.4835
14737, 232800, 11.9282
14763, 233400, 11.4818
14790, 234000, 9.8721
14816, 234600, 10.2295
14841, 235200, 9.8774
14868, 235800, 9.565
14897, 236400, 7.6071
14923, 237000, 9.6024
14952, 237600, 9.9768
14978, 238200, 11.3962
15006, 238800, 9.136
15033, 239400, 7.0474
15061, 240000, 8.2202
15088, 240600, 8.1875
15114, 241200, 9.799
15140, 241800, 8.9953
15165, 242400, 10.7393
15191, 243000, 9.9623
15216, 243600, 10.1045
15242, 244200, 9.7287
15269, 244800, 10.0299
15294, 245400, 11.0842
15320, 246000, 10.6742
15345, 246600, 10.2772
15369, 247200, 9.999
15394, 247800, 10.4052
15422, 248400, 6.7309
15447, 249000, 9.0871
15472, 249600, 11.4444
15499, 250200, 8.9434
15525, 250800, 10.3464
15548, 251400, 11.3953
15572, 252000, 11.3108
15596, 252600, 11.1136
15622, 253200, 9.0957
15645, 253800, 12.3801
15670, 254400, 11.5365
15695, 255000, 9.4462
